ID;ParentID;Tipo;Secuencia;Descripción;Cliente;Vehículo;RefInterno;versión;Imagen;Consumo;Unidad;Sourcing;Código
1;;Pieza Final;1;;;;;;;;;;001021         
2;1;Insumo;1; CONECTOR                                ;;;;;;1; UN   ;; CONNCT-HEX     
3;1;Insumo;2; ETIQUETA                                ;;;;;;1; UN   ;; ETIQ-HEX       
4;1;Insumo;3; GARRAFA 13,5KG                          ;;;;;;1; UN   ;; GARR13KG       
5;1;Insumo;4; LOCTITE 567                             ;;;;;;0.0037489; UN   ;; LOCT567        
6;1;Insumo;5; LOCTITE ACT T 7471 X 127gr              ;;;;;;0.004133; UN   ;; LOCT7471       
7;1;Insumo;6; MOLYKOTE 111                            ;;;;;;0.000918; UN   ;; MKOTE111       
8;1;Insumo;7; ORING M34                               ;;;;;;1; UN   ;; ORINGM34       
9;1;Insumo;8; VALVULA                                 ;;;;;;1; UN   ;; VALVULA        
10;;Pieza Final;1;;;;;;;;;;00152410-01-NHZ
11;10;Insumo;1; Punz. PES 300 grs/m2 Negro - Ancho 2 mts;;;;;;0.01621; MT2  ;; TPES300-N      
12;;Pieza Final;1;;;;;;;;;;00152437-03-V20
13;12;Insumo;1; PLASTICO APB.DER T71A                   ;;;;;;1; UN   ;; 00152438-02-NHZ
14;12;Insumo;2; TRÉVES TELA APB                         ;;;;;;0.092314; MT2  ;; 00209835-01-V20
15;12;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.003333; BI   ;; AD - ADFA15    
16;12;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.003333; BO   ;; AD - REGV0.6   
17;12;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
18;12;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.002857; BI   ;; PPBL - 3A      
19;12;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.002857; BI   ;; PPBL - 3B      
20;12;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166667; UN   ;; SEP/REYDEL     
21;;Pieza Final;1;;;;;;;;;;00152437-04-V20
22;21;Insumo;1; PLASTICO APB.DER T71A                   ;;;;;;1; UN   ;; 00152438-02-NHZ
23;21;Insumo;2; TRÉVES TELA APB                         ;;;;;;0.09333; MT2  ;; 00209835-01-V20
24;21;Insumo;3; ADHESIVO FA X 18 L.                     ;;;;;;0.003333; BI   ;; AD - ADFA15    
25;21;Insumo;4; RETICULANTE GV X 0.6 KG                 ;;;;;;0.003333; BO   ;; AD - REGV0.6   
26;21;Insumo;5; Bandejas grises REYDEL                  ;;;;;;0.083333; UN   ;; BAN-REYDEL     
27;21;Insumo;6; PRIMER PPBL 4 - PARTE A X 5 LTS         ;;;;;;0.00285; BI   ;; PPBL - 3A      
28;21;Insumo;7; PRIMER PPBL 4 - PARTE B X 180L          ;;;;;;0.00285; BI   ;; PPBL - 3B      
29;21;Insumo;8; SEPARADORES REYDEL                      ;;;;;;0.166666; UN   ;; SEP/REYDEL     
30;;Pieza Final;1;;;;;;;;;;00152594-03-V20
